country,sex,age,marriage_duration,n_children,n_broughtup_children,education,material_status,religion,religiousity,pension,mrq,kansas,age_at_marriage
Brazil,male,23,7,2,2,5,2,6.0,1,3,2.6666666666666665,3.0,16
Brazil,male,40,20,3,3,4,2,6.0,1,7,1.2222222222222223,6.666666666666667,20
Brazil,female,26,6,0,0,5,2,6.0,1,7,1.8888888888888888,6.0,20
Brazil,male,30,6,0,0,5,2,6.0,3,2,1.6666666666666667,5.666666666666667,24
Brazil,male,31,2,2,3,5,2,6.0,5,1,1.2222222222222223,4.333333333333333,29
Brazil,male,29,2,0,0,5,2,6.0,3,2,1.2222222222222223,5.666666666666667,27
Brazil,male,32,10,0,0,5,2,6.0,4,7,1.1111111111111112,7.0,22
Brazil,male,37,12,1,1,5,2,6.0,4,7,1.0,6.333333333333333,25
Brazil,male,29,1,0,0,5,2,6.0,1,4,1.0,7.0,28
Brazil,male,25,7,0,0,5,2,6.0,1,3,1.2222222222222223,6.0,18
Brazil,male,37,9,1,1,5,2,6.0,1,1,2.0,3.6666666666666665,28
Brazil,male,33,9,1,1,5,2,6.0,3,1,1.6666666666666667,5.0,24
Brazil,female,35,1,0,0,5,3,6.0,5,5,1.0,7.0,34
Brazil,male,30,6,1,1,5,1,6.0,4,6,3.0,1.0,24
Brazil,female,33,7,2,2,5,2,6.0,2,6,1.1111111111111112,6.0,26
Brazil,female,27,6,1,1,5,3,6.0,2,7,1.1111111111111112,5.0,21
Brazil,male,42,4,3,0,4,3,6.0,1,6,1.2222222222222223,7.0,38
Brazil,male,32,2,0,0,5,2,6.0,4,5,1.2222222222222223,7.0,30
Brazil,male,31,4,0,0,5,3,6.0,2,6,1.3333333333333333,6.0,27
Brazil,male,32,14,1,0,5,2,6.0,5,6,1.5555555555555556,6.0,18
Brazil,female,26,1,0,0,5,3,6.0,1,2,2.111111111111111,4.333333333333333,25
Brazil,male,31,13,0,0,5,3,6.0,5,6,1.2222222222222223,5.333333333333333,18
Brazil,male,30,8,0,0,5,1,6.0,1,7,1.4444444444444444,5.666666666666667,22
Brazil,female,32,2,0,2,5,1,6.0,4,3,1.0,7.0,30
Brazil,female,38,4,1,1,5,2,6.0,2,7,1.1111111111111112,5.0,34
Brazil,male,20,7,0,0,4,3,6.0,5,4,1.4444444444444444,5.0,13
Brazil,male,31,3,0,0,4,3,6.0,5,4,1.8888888888888888,4.666666666666667,28
Brazil,male,24,2,0,0,5,3,6.0,1,7,1.0,6.0,22
Brazil,male,28,1,0,0,5,3,6.0,3,5,1.0,7.0,27
Brazil,male,30,5,1,1,5,2,6.0,1,6,1.2222222222222223,6.333333333333333,25
Brazil,male,27,3,1,1,5,3,6.0,1,2,1.0,7.0,24
Brazil,male,32,3,0,0,5,2,6.0,7,4,1.1111111111111112,6.0,29
Brazil,female,28,7,0,0,5,2,6.0,4,3,1.0,7.0,21
Brazil,male,26,2,0,0,5,2,6.0,3,6,1.2222222222222223,5.333333333333333,24
Brazil,male,25,1,0,0,5,2,6.0,7,7,1.1111111111111112,6.666666666666667,24
Brazil,male,31,3,0,0,5,1,6.0,6,7,1.0,7.0,28
Brazil,male,30,6,0,0,5,2,6.0,3,6,1.7777777777777777,3.0,24
Brazil,female,40,10,0,0,5,2,6.0,1,2,1.0,7.0,30
Brazil,female,23,3,0,1,4,3,6.0,1,5,1.2222222222222223,6.666666666666667,20
Brazil,male,24,4,0,0,5,3,6.0,3,5,1.1111111111111112,6.0,20
Brazil,male,42,1,1,1,5,2,6.0,3,6,1.0,7.0,41
Brazil,male,28,5,0,0,4,3,6.0,1,7,1.2222222222222223,5.333333333333333,23
Brazil,male,26,1,0,0,5,2,6.0,2,6,1.1111111111111112,6.666666666666667,25
Brazil,male,38,2,1,1,5,2,3.0,4,5,2.7777777777777777,2.6666666666666665,36
Brazil,male,48,7,2,0,5,2,3.0,4,7,1.2222222222222223,7.0,41
Brazil,male,33,6,1,1,5,1,3.0,1,3,1.3333333333333333,6.0,27
Brazil,female,31,11,1,1,5,1,5.0,4,7,1.1111111111111112,6.666666666666667,20
Brazil,female,57,8,0,0,5,2,5.0,4,7,2.0,6.0,49
Brazil,female,29,1,0,0,5,3,9.0,5,7,1.0,7.0,28
Brazil,male,33,6,1,1,5,2,9.0,4,6,1.5555555555555556,5.0,27
Brazil,female,31,12,1,1,5,2,9.0,6,6,1.0,7.0,19
Brazil,female,39,2,2,0,5,3,9.0,1,4,1.1111111111111112,5.0,37
Brazil,male,48,25,1,1,4,2,9.0,5,2,1.1111111111111112,7.0,23
Brazil,male,38,7,0,0,5,3,9.0,4,4,1.1111111111111112,7.0,31
Brazil,male,32,7,2,2,5,2,9.0,6,7,1.2222222222222223,6.666666666666667,25
Brazil,female,59,6,2,0,4,3,9.0,6,2,1.1111111111111112,7.0,53
Brazil,male,32,8,0,0,5,2,9.0,3,3,1.7777777777777777,5.0,24
Brazil,male,30,4,0,0,5,2,9.0,6,6,1.0,7.0,26
Brazil,male,43,2,1,0,5,1,9.0,1,3,1.5555555555555556,6.0,41
Brazil,male,31,1,0,0,5,2,9.0,2,5,1.0,7.0,30
Brazil,male,31,6,1,1,5,3,9.0,4,7,1.4444444444444444,6.0,25
Brazil,male,23,1,0,0,5,3,9.0,1,4,1.0,7.0,22
Brazil,male,38,11,0,0,5,2,9.0,5,4,1.8888888888888888,5.0,27
Brazil,female,53,3,3,0,5,3,9.0,5,7,1.8888888888888888,4.333333333333333,50
Brazil,male,48,18,2,2,5,2,9.0,4,6,1.1111111111111112,5.0,30
Brazil,female,24,1,0,0,5,2,9.0,6,6,1.0,6.0,23
Brazil,male,37,14,2,0,5,3,9.0,4,7,1.5555555555555556,2.0,23
Brazil,male,30,10,0,0,5,2,9.0,5,7,1.3333333333333333,6.333333333333333,20
Brazil,male,29,2,0,0,4,2,9.0,3,7,1.0,7.0,27
Brazil,male,29,2,0,0,5,2,9.0,5,4,1.0,6.333333333333333,27
Brazil,male,26,5,0,0,4,3,9.0,3,5,1.2222222222222223,6.666666666666667,21
Brazil,female,34,1,0,0,5,2,10.0,1,4,1.1111111111111112,7.0,33
Brazil,male,26,5,1,1,5,2,10.0,2,4,1.1111111111111112,6.333333333333333,21
Brazil,male,40,9,0,0,5,2,10.0,5,6,1.0,7.0,31
Brazil,male,32,6,1,1,5,3,10.0,4,7,1.1111111111111112,7.0,26
Brazil,male,30,1,0,0,4,2,10.0,6,7,1.1111111111111112,6.0,29
Brazil,male,39,17,3,3,4,3,1.0,7,1,1.4444444444444444,5.0,22
Brazil,male,22,6,1,1,2,3,1.0,4,1,1.8888888888888888,5.0,16
Brazil,male,29,9,1,0,4,3,1.0,7,6,1.0,6.0,20
Brazil,female,33,13,2,2,4,2,1.0,4,1,1.0,6.666666666666667,20
Brazil,female,47,2,3,3,3,1,1.0,5,3,2.0,7.0,45
Brazil,male,28,13,2,2,4,2,1.0,4,1,1.0,7.0,15
Brazil,male,43,20,2,2,3,3,1.0,4,3,4.222222222222222,1.0,23
Brazil,male,26,6,0,0,3,3,1.0,4,4,1.1111111111111112,7.0,20
Brazil,male,38,18,1,1,3,3,1.0,5,2,1.0,7.0,20
Brazil,male,30,10,1,1,4,3,1.0,5,4,1.1111111111111112,7.0,20
Brazil,male,43,23,2,0,3,2,1.0,5,3,2.111111111111111,4.0,20
Brazil,male,34,17,2,2,3,3,1.0,6,3,1.1111111111111112,6.333333333333333,17
Brazil,female,41,15,2,2,5,3,1.0,5,5,1.1111111111111112,7.0,26
Brazil,male,20,0,0,0,4,2,1.0,6,3,1.0,7.0,20
Brazil,female,24,0,0,0,4,2,1.0,6,3,1.0,7.0,24
Brazil,male,36,17,2,1,4,2,1.0,4,2,2.111111111111111,1.3333333333333333,19
Brazil,male,26,8,0,0,4,3,1.0,6,3,1.0,7.0,18
Brazil,male,52,28,1,0,5,2,1.0,1,5,1.0,7.0,24
Brazil,male,38,11,3,0,4,3,1.0,4,1,2.3333333333333335,5.0,27
Brazil,male,32,15,3,0,4,3,1.0,6,2,1.3333333333333333,7.0,17
Brazil,male,59,45,6,0,2,3,1.0,1,2,1.6666666666666667,5.0,14
Brazil,female,36,10,1,1,3,3,1.0,5,6,1.3333333333333333,6.0,26
Brazil,male,25,0,0,0,4,3,1.0,5,3,1.0,7.0,25
Brazil,male,35,7,1,1,3,2,1.0,1,2,4.222222222222222,6.0,28
Brazil,male,26,5,0,0,5,1,1.0,4,6,1.1111111111111112,5.0,21
Brazil,male,25,2,1,0,4,3,1.0,3,4,1.2222222222222223,5.0,23
Brazil,male,28,1,0,0,5,2,1.0,4,6,1.0,7.0,27
Brazil,male,45,21,2,0,3,2,1.0,4,7,1.6666666666666667,5.666666666666667,24
Brazil,female,46,21,2,0,3,2,1.0,4,7,1.3333333333333333,6.333333333333333,25
Brazil,male,38,19,2,2,5,3,1.0,5,2,1.1111111111111112,7.0,19
Brazil,male,22,3,1,0,4,3,1.0,5,1,1.3333333333333333,5.0,19
Brazil,male,54,32,3,0,2,3,1.0,4,1,3.2222222222222223,3.0,22
Brazil,male,47,26,2,0,4,3,1.0,4,3,1.2222222222222223,6.333333333333333,21
Brazil,female,38,15,3,3,4,3,1.0,6,2,1.1111111111111112,6.0,23
Brazil,female,39,19,2,2,5,3,1.0,4,1,1.0,7.0,20
Brazil,female,37,18,1,1,3,3,1.0,6,4,1.1111111111111112,6.0,19
Brazil,female,37,11,2,2,5,3,1.0,5,3,1.0,6.333333333333333,26
Brazil,male,33,11,2,2,4,3,1.0,4,6,1.2222222222222223,7.0,22
Brazil,male,48,2,2,0,5,3,1.0,4,1,1.0,6.333333333333333,46
Brazil,male,39,20,3,3,4,3,1.0,2,5,1.8888888888888888,2.6666666666666665,19
Brazil,female,42,17,2,2,4,3,1.0,6,3,1.0,6.666666666666667,25
Brazil,male,32,6,1,0,4,3,1.0,7,3,1.0,7.0,26
Brazil,female,31,6,1,0,4,3,1.0,7,3,1.0,7.0,25
Brazil,male,38,15,0,0,4,3,1.0,6,6,2.2222222222222223,3.0,23
Brazil,male,34,5,2,2,5,3,1.0,6,5,1.0,7.0,29
Brazil,male,24,10,1,1,4,1,1.0,6,4,1.1111111111111112,6.666666666666667,14
Brazil,male,38,16,2,0,5,2,1.0,4,2,1.2222222222222223,5.333333333333333,22
Brazil,female,28,15,0,0,5,3,1.0,5,4,1.0,7.0,13
Brazil,male,23,4,0,0,4,3,1.0,3,4,1.7777777777777777,4.0,19
Brazil,female,43,17,2,2,3,3,1.0,1,3,1.8888888888888888,3.3333333333333335,26
Brazil,female,34,10,1,1,4,3,1.0,4,6,1.4444444444444444,7.0,24
Brazil,male,30,10,1,1,5,3,1.0,5,3,1.4444444444444444,6.0,20
Brazil,male,40,8,1,1,4,3,1.0,5,3,1.5555555555555556,4.333333333333333,32
Brazil,male,30,14,3,3,3,3,1.0,4,2,2.2222222222222223,1.6666666666666667,16
Brazil,male,24,3,0,0,2,3,1.0,6,4,1.0,7.0,21
Brazil,male,28,1,0,0,5,3,1.0,4,3,1.1111111111111112,5.333333333333333,27
Brazil,male,55,34,1,0,5,2,1.0,6,2,1.0,6.0,21
Brazil,male,26,10,1,1,4,2,1.0,5,7,2.111111111111111,4.0,16
Brazil,female,26,1,0,0,5,2,1.0,5,1,1.0,7.0,25
Brazil,male,42,6,2,0,4,3,1.0,6,2,1.0,4.0,36
Brazil,male,33,11,2,0,4,3,1.0,3,1,2.0,5.333333333333333,22
Brazil,female,32,10,1,1,2,2,1.0,5,2,1.3333333333333333,6.666666666666667,22
Brazil,male,33,7,0,0,5,3,1.0,4,2,1.1111111111111112,6.666666666666667,26
Brazil,female,32,3,0,0,5,2,1.0,2,5,1.4444444444444444,6.0,29
Brazil,female,48,19,3,0,5,3,1.0,4,3,1.3333333333333333,7.0,29
Brazil,male,24,2,0,0,4,2,1.0,4,4,2.6666666666666665,1.0,22
Brazil,male,23,5,2,2,3,1,1.0,4,2,1.1111111111111112,5.666666666666667,18
Brazil,female,32,5,0,0,5,2,1.0,4,2,1.2222222222222223,5.333333333333333,27
Brazil,female,36,4,0,0,5,3,1.0,4,3,1.4444444444444444,4.0,32
Brazil,female,32,8,0,0,4,3,1.0,5,2,1.5555555555555556,2.3333333333333335,24
Brazil,female,31,5,1,1,5,3,1.0,4,1,1.0,7.0,26
Brazil,male,28,8,2,1,4,3,1.0,4,5,1.0,7.0,20
Brazil,female,58,22,2,0,5,2,1.0,4,5,1.3333333333333333,5.0,36
Brazil,male,42,18,1,1,4,1,1.0,4,6,1.2222222222222223,4.666666666666667,24
Brazil,male,30,8,1,0,2,3,1.0,4,4,2.3333333333333335,4.0,22
Brazil,female,30,6,1,1,5,3,1.0,4,6,2.3333333333333335,4.0,24
Brazil,female,24,1,0,0,5,2,1.0,6,1,1.2222222222222223,5.333333333333333,23
Brazil,female,30,3,1,1,5,2,1.0,4,2,1.0,7.0,27
Brazil,female,43,11,1,1,5,2,1.0,4,7,3.888888888888889,1.0,32
Brazil,female,41,23,2,0,5,3,1.0,7,6,1.1111111111111112,6.0,18
Brazil,female,52,30,1,0,5,2,1.0,1,7,1.0,7.0,22
Brazil,female,30,3,1,0,5,2,1.0,4,4,1.2222222222222223,5.333333333333333,27
